Alpha,AUC,MRR,NDCG@5,NDCG@10,Recall@5,Recall@10
0.0,0.1666666666666666,0.25,0.430676558073393,0.430676558073393,1.0,1.0
0.0,0.4293478260869565,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.5537037037037036,0.0454545454545454,0.0,0.0,0.0,0.0
0.0,0.4390243902439024,0.0294117647058823,0.0,0.0,0.0,0.0
0.0,0.5674044265593561,0.3333333333333333,0.169580102636808,0.229063610761909,0.1428571428571428,0.2857142857142857
0.0,0.5555555555555556,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.7333333333333334,1.0,0.5087403079104241,0.6217937096682962,0.4,0.6
0.0,0.5625,0.3333333333333333,0.1951900249960508,0.1951900249960508,0.25,0.25
0.0,0.25,0.0454545454545454,0.0,0.0,0.0,0.0
0.0,0.4404761904761904,0.1428571428571428,0.0,0.2043823975884861,0.0,0.5
0.0,0.4375,0.0263157894736842,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.4952380952380952,0.125,0.0,0.2090905274901754,0.0,0.4
0.0,0.6888297872340425,0.125,0.0,0.1934264036172708,0.0,0.5
0.0,0.2884615384615384,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.5,0.1666666666666666,0.0,0.2565722842672027,0.0,0.5
0.0,0.6920222634508348,0.2,0.1312050775123417,0.283706685812965,0.1428571428571428,0.4285714285714285
0.0,0.1944444444444444,0.0769230769230769,0.0,0.0,0.0,0.0
0.0,0.2179487179487179,0.0588235294117647,0.0,0.0,0.0,0.0
0.0,0.4746666666666666,0.0833333333333333,0.0,0.0,0.0,0.0
0.0,0.6388888888888888,0.2,0.1510196182278052,0.2741708125981702,0.25,0.5
0.0,0.4987179487179487,0.1,0.0,0.0636207881989517,0.0,0.0769230769230769
0.0,0.7428571428571429,0.3333333333333333,0.3065735963827292,0.3065735963827292,0.5,0.5
0.0,0.3852459016393442,0.0344827586206896,0.0,0.0,0.0,0.0
0.0,0.5454545454545454,0.1666666666666666,0.0,0.2184074368181641,0.0,0.5
0.0,0.2272727272727273,0.1428571428571428,0.0,0.3333333333333333,0.0,1.0
